City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ormeau,-27.7833,153.2667,51.12,85.0,70.0,4.79,AU,1717444221.0
1,ushuaia,-54.8,-68.3,40.66,70.0,40.0,5.75,AR,1717444214.0
2,akureyri,65.6835,-18.0878,35.53,87.0,100.0,27.63,IS,1717444221.0
3,berezovyy,51.6667,135.7,42.26,93.0,60.0,1.16,RU,1717444221.0
4,badger,64.8,-147.5333,63.36,55.0,75.0,3.44,US,1717444221.0
5,iqaluit,63.7506,-68.5145,33.53,86.0,100.0,15.01,CA,1717444221.0
6,edinburgh of the seven seas,-37.0676,-12.3116,53.62,59.0,47.0,5.75,SH,1717444221.0
7,adam,22.3756,57.5233,83.7,62.0,5.0,10.16,OM,1717444221.0
8,west island,-12.1568,96.8225,82.38,89.0,8.0,12.66,CC,1717444221.0
9,kerouane,9.2667,-9.0167,72.81,96.0,100.0,4.9,GN,1717444222.0
10,ilulissat,69.2167,-51.1,37.42,56.0,20.0,10.36,GL,1717444246.0
11,mount gambier,-37.8333,140.7667,42.39,84.0,100.0,4.45,AU,1717444246.0
12,bhainsdehi,21.6467,77.6325,83.32,54.0,22.0,6.15,IN,1717444246.0
13,baruun-urt,46.6806,113.2792,61.45,26.0,96.0,3.31,MN,1717444246.0
14,kovalam,8.3667,76.9967,80.69,83.0,75.0,1.14,IN,1717444246.0
15,utrik,11.2278,169.8474,82.56,82.0,94.0,22.28,MH,1717444246.0
16,salinopolis,-0.6136,-47.3561,82.76,76.0,57.0,14.16,BR,1717444247.0
17,blackmans bay,-43.0167,147.3167,48.52,96.0,0.0,1.01,AU,1717444247.0
18,olonkinbyen,70.9221,-8.7187,32.56,98.0,100.0,15.52,SJ,1717444247.0
19,marsh harbour,26.5412,-77.0636,79.34,72.0,20.0,12.01,BS,1717444247.0
20,fort st. john,56.2499,-120.8529,48.09,93.0,100.0,11.5,CA,1717444228.0
21,takahashi,34.7833,133.6167,56.05,93.0,17.0,4.41,JP,1717444247.0
22,tranovaho,,,,,,,,
23,albany,42.6001,-73.9662,87.17,33.0,81.0,1.01,US,1717444227.0
24,port-aux-francais,-49.35,70.2167,35.31,82.0,98.0,27.22,TF,1717444247.0
25,hamilton,39.1834,-84.5333,84.94,64.0,20.0,3.44,US,1717443992.0
26,cockburn town,21.4612,-71.1419,82.0,85.0,99.0,19.8,TC,1717444248.0
27,pamandzi,-12.7967,45.2794,78.58,83.0,100.0,6.91,YT,1717444248.0
28,colico piano,46.1324,9.3698,65.89,81.0,5.0,5.1,IT,1717444248.0
29,margaret river,-33.95,115.0667,60.64,81.0,48.0,4.68,AU,1717444248.0
30,klyuchi,52.2667,79.1667,61.7,62.0,100.0,16.28,RU,1717444248.0
31,knyaze-volkonskoye,48.4642,135.4567,48.54,70.0,0.0,4.0,RU,1717444248.0
32,waitangi,-43.9535,-176.5597,47.82,80.0,78.0,8.99,NZ,1717444248.0
33,yellowknife,62.456,-114.3525,50.56,76.0,75.0,16.11,CA,1717444248.0
34,rio grande,-32.035,-52.0986,57.31,69.0,43.0,13.85,BR,1717444248.0
35,hermanus,-34.4187,19.2345,58.8,84.0,100.0,13.27,ZA,1717444248.0
36,hithadhoo,-0.6,73.0833,83.66,73.0,84.0,7.85,MV,1717444249.0
37,kingston,17.997,-76.7936,84.16,79.0,75.0,25.32,JM,1717444047.0
38,sandnessjoen,66.0217,12.6316,54.12,81.0,75.0,17.27,NO,1717444249.0
39,kapa'a,22.0752,-159.319,80.58,86.0,100.0,17.27,US,1717444249.0
40,talnakh,69.4865,88.3972,19.2,94.0,95.0,1.39,RU,1717444249.0
41,argo,37.6333,22.7333,75.42,41.0,3.0,2.06,GR,1717444249.0
42,novaya usman',51.6418,39.4086,66.81,78.0,54.0,5.57,RU,1717444249.0
43,petropavlovsk-kamchatsky,53.0452,158.6483,46.45,75.0,0.0,6.71,RU,1717444249.0
44,east london,-33.0153,27.9116,57.16,52.0,73.0,7.16,ZA,1717444249.0
45,borzya,50.3833,116.5167,56.46,60.0,62.0,3.51,RU,1717444250.0
46,longyearbyen,78.2186,15.6401,44.44,76.0,75.0,16.11,SJ,1717444116.0
47,grytviken,-54.2811,-36.5092,28.49,72.0,21.0,9.69,GS,1717444250.0
48,yoichi,43.2039,140.7703,50.94,81.0,0.0,3.31,JP,1717444250.0
49,neryungri,56.6709,124.6491,48.18,78.0,6.0,3.18,RU,1717444250.0
50,isafjordur,66.0755,-23.124,41.04,56.0,40.0,10.36,IS,1717444250.0
51,haiku-pauwela,20.9219,-156.3051,82.22,81.0,40.0,19.57,US,1717444250.0
52,pucon,-39.2822,-71.9543,49.62,87.0,100.0,5.82,CL,1717444250.0
53,qaqortoq,60.7167,-46.0333,41.86,81.0,90.0,3.09,GL,1717444250.0
54,manga,11.6636,-1.0731,86.47,54.0,100.0,7.85,BF,1717444250.0
55,port glaud,,,,,,,,
56,taro,-8.3862,115.28,69.85,100.0,86.0,0.6,ID,1717444251.0
57,margate,51.3813,1.3862,65.7,75.0,100.0,1.99,GB,1717443848.0
58,kanekomachi,36.4,139.0,62.91,95.0,99.0,2.42,JP,1717444251.0
59,horta,38.5333,-28.6333,68.02,82.0,20.0,9.22,PT,1717444251.0
60,sao jose da coroa grande,-8.8978,-35.1478,79.07,84.0,18.0,8.5,BR,1717444251.0
61,kristiansund,63.1115,7.732,50.05,77.0,75.0,13.8,NO,1717444251.0
62,vila velha,-20.3297,-40.2925,80.96,99.0,75.0,6.91,BR,1717444251.0
63,bikenibeu village,1.3673,173.1241,80.56,94.0,20.0,2.3,KI,1717444251.0
64,muzaffarpur,26.1167,85.4,89.15,54.0,13.0,11.92,IN,1717443988.0
65,puerto ayora,-0.7393,-90.3518,84.16,96.0,81.0,4.0,EC,1717444252.0
66,mugia,43.1041,-9.2179,64.9,81.0,3.0,18.61,ES,1717444252.0
67,saint-philippe,-21.3585,55.7679,67.59,77.0,34.0,8.23,RE,1717444252.0
68,puerto san carlos,,,,,,,,
69,kalmunai,7.4167,81.8167,78.69,90.0,91.0,10.94,LK,1717444252.0
70,ta`u,-14.2336,-169.5144,82.17,70.0,95.0,17.27,AS,1717444252.0
71,anar darah,32.7587,61.654,82.15,17.0,0.0,12.84,AF,1717444252.0
72,lethem,3.3803,-59.7968,88.11,60.0,87.0,3.29,GY,1717444252.0
73,volgodonsk,47.5136,42.1514,71.13,49.0,100.0,7.74,RU,1717444253.0
74,broken hill,-31.95,141.4333,47.23,49.0,100.0,8.46,AU,1717444050.0
75,adamstown,-25.066,-130.1015,70.14,82.0,100.0,5.99,PN,1717444253.0
76,manta,-0.95,-80.7333,80.38,69.0,75.0,18.41,EC,1717444222.0
77,lata,40.1629,-8.3327,63.09,63.0,0.0,2.59,PT,1717444253.0
78,belmonte,-15.8631,-38.8828,75.92,81.0,100.0,8.43,BR,1717444253.0
79,alaghsas,17.0187,8.0168,99.16,14.0,61.0,18.9,NE,1717444253.0
80,prokhladnyy,43.7574,44.0297,70.57,67.0,7.0,4.92,RU,1717444253.0
81,laojunmiao,39.8333,97.7333,55.4,31.0,21.0,8.32,CN,1717444253.0
82,labytnangi,66.6572,66.4183,32.38,82.0,62.0,4.63,RU,1717444253.0
83,el bayadh,33.6832,1.0193,72.1,37.0,97.0,4.05,DZ,1717444254.0
84,brisas de zicatela,15.8369,-97.0419,89.38,62.0,100.0,11.43,MX,1717444254.0
85,el porvenir,13.7617,-87.3458,94.33,68.0,99.0,3.11,HN,1717444254.0
86,east falmouth,41.5784,-70.5586,79.11,61.0,0.0,11.5,US,1717444254.0
87,howard springs,-12.497,131.047,69.71,98.0,30.0,2.95,AU,1717444254.0
